Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Random Forest,0.9555214723926381,0.927536231884058,0.8707482993197279,0.8982456140350877,0.9725264363171011
XGBoost,0.950920245398773,0.891156462585034,0.891156462585034,0.891156462585034,0.9761096517815047
SVM,0.950920245398773,0.8807947019867549,0.9047619047619048,0.8926174496644296,0.9771873105677913
