,Random Forest,XGBoost,SVM,Random Forest_baseline,XGBoost_baseline,SVM_baseline
AUC-ROC,0.9775106082036776,0.9825756044992254,0.9783188522933925,0.9725264363171012,0.9761096517815048,0.9771873105677912
Accuracy,0.9524539877300614,0.9539877300613497,0.9555214723926381,0.955521472392638,0.950920245398773,0.950920245398773
F1,0.8927335640138409,0.8986486486486487,0.9023569023569024,,,
F1-Score,,,,0.8982456140350877,0.891156462585034,0.8926174496644296
Precision,0.9084507042253521,0.8926174496644296,0.8933333333333333,0.927536231884058,0.891156462585034,0.8807947019867549
Recall,0.8775510204081632,0.9047619047619048,0.9115646258503401,0.8707482993197279,0.891156462585034,0.9047619047619048
