mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
0.5414470672607422,0.17182267895533543,0.6417690277099609,0.11541260347053177,balanced,15,sqrt,15,12,171,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 12, 'n_estimators': 171}",0.9682832690048666,0.9684881949733435,0.9860894982546158,0.9841758842578964,0.9722841401354249,0.9758641973252293,0.007724423773187917,77,0.9152122839402583,0.9245261064567994,0.9238234428228961,0.944284392480128,0.9328132228624301,0.9281318897125024,0.009811206108492796,68
1.400203800201416,0.24855674027109503,2.392100477218628,1.7008017099177162,balanced,20,,19,12,187,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 19, 'min_samples_split': 12, 'n_estimators': 187}",0.9706431448229569,0.9708682406702208,0.983050847457627,0.9845018294990957,0.9771312613029398,0.9772390647505681,0.005841742047780556,62,0.9065489176036248,0.9348713717525599,0.922887664549775,0.9368402237456367,0.9358098162089413,0.9273915987721075,0.011582682628074036,73
5.43540244102478,0.5239539173993825,0.9960108757019043,0.6189697551456682,balanced,15,,2,13,393,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 393}",0.9756251048833696,0.9764005246678514,0.9851537199814947,0.9851221768936367,0.9782352693779703,0.9801073591608646,0.004194045778168072,6,0.9270641047155561,0.9374629770669374,0.9317828153257349,0.9524540522353534,0.9250641376119778,0.9347656173911119,0.009823294681700812,17
2.1965782165527346,0.5148228033182909,1.1232271671295166,0.4878723020051381,"{0: 1, 1: 3}",20,sqrt,12,13,444,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 13, 'n_estimators': 444}",0.9691852659842256,0.9706884149953457,0.9861315557050931,0.9850590907179206,0.9731463178702107,0.9768421290545592,0.007265902223173076,69,0.918925155227387,0.9257637302191757,0.9250641376119778,0.9492471716364554,0.9305421205366531,0.9299084630463298,0.010350521933862947,57
1.5055822372436523,0.4133636540409699,0.4369504928588867,0.3577683436296856,balanced,45,,15,13,154,"{'class_weight': 'balanced', 'max_depth': 45, 'max_features': None, 'min_samples_leaf': 15, 'min_samples_split': 13, 'n_estimators': 154}",0.9699404262460145,0.972105864432597,0.9831665054464397,0.9855427513984102,0.9774782352693779,0.977646756558568,0.006048665541401889,55,0.913974660177882,0.9385842430396886,0.9198910712032636,0.9380809185347185,0.9358098162089413,0.9292681418328987,0.010286576818932141,60
1.4852388858795167,0.45426469405626474,0.6651499748229981,0.4563619887247219,"{0: 1, 1: 3}",40,,5,8,120,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 40, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 120}",0.9745972478603793,0.9757129559109758,0.9846805736636246,0.987961054800858,0.9773625772805654,0.9800628819032806,0.005287548940643167,9,0.922826816579963,0.9404988575780655,0.9300269167683055,0.9512133574462717,0.9250641376119778,0.9339260171969167,0.010573386513683933,28
1.1823228359222413,0.1992543599648377,0.44080424308776855,0.10648561228839046,balanced,30,log2,4,15,341,"{'class_weight': 'balanced', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 341}",0.9706536331599261,0.9711115342303461,0.9869516759894015,0.985879211002229,0.9733986625730747,0.9775989433909956,0.00726639676240976,56,0.923875650276892,0.9294766015063044,0.938501493039492,0.9534844597720488,0.9317828153257349,0.9354242039840944,0.010174923354797225,13
1.4414008617401124,0.19027195027057298,0.3367005348205566,0.06274395037862958,"{0: 1, 1: 3}",40,log2,2,16,363,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 40, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 363}",0.9707585165296191,0.9738829652195989,0.9885288303823022,0.9856058375741262,0.9744711275602473,0.9786494554531787,0.007048944196485603,38,0.923875650276892,0.9331894727934331,0.9325083063464692,0.954209950792783,0.9300269167683055,0.9347620593955766,0.010263609408245396,18
0.6468729019165039,0.02520140667181207,0.1657102108001709,0.03655697000234824,balanced,10,log2,17,5,149,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 17, 'min_samples_split': 5, 'n_estimators': 149}",0.9632698439335459,0.9611259202843361,0.9819678681078353,0.9805168860663667,0.9647137990495015,0.9703188634883171,0.009003494898387058,98,0.9199739889243161,0.9060781078107811,0.9268200361694074,0.9455250872692098,0.9066640030281363,0.9210122446403701,0.014591698676513715,94
1.276848316192627,0.1167984809815021,0.19935407638549804,0.01560227174155225,"{0: 1, 1: 3}",15,log2,6,11,359,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 11, 'n_estimators': 359}",0.969059405940594,0.9699691122958449,0.9860474408041384,0.9848067460150566,0.9729991167935399,0.9765763643698347,0.007353878093478433,71,0.923875650276892,0.9264407209951764,0.9220675442654666,0.9504878664255374,0.9105963746477689,0.9266936313221683,0.013074348617480858,76
