mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
3.792594051361084,0.299391117122269,0.22722363471984863,0.006184151316011019,poly,auto,2,0.1,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 2, 'C': 0.1}",0.9514809531800638,0.9477765084200728,0.9666799848593178,0.9673318753417168,0.951192328721033,0.9568923301044409,0.008362457908193323,47,0.8980743413324384,0.8804370821697556,0.9056335954914413,0.9036674096816251,0.8874437481599865,0.8950512353670493,0.009662414921530147,47
1.551241159439087,0.3178799728600298,0.18642048835754393,0.02009120740667483,rbf,scale,3,100.0,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'C': 100}",0.9534527605302904,0.9664360666835915,0.9817365521302098,0.9836922235774067,0.9786558438827438,0.9727946893608485,0.01138076084763039,38,0.8995007551602617,0.9191313362105441,0.9146233755309753,0.9487319678681079,0.9310573243050007,0.9226089518149779,0.016514472180212854,38
1.2640212535858155,0.06121808021004374,0.05224852561950684,0.005877228447586662,linear,scale,2,1.0,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 2, 'C': 1}",0.9726883705319684,0.9803143775916052,0.9836922235774067,0.9897064389956681,0.9817891239433065,0.9816381069279909,0.005498913067451201,1,0.921924819600604,0.9220508589320469,0.9450098835008622,0.9552403583294782,0.9382912057871051,0.9365034252300193,0.013023371823785053,12
1.0002109050750732,0.03466706754944088,0.06730418205261231,0.006091774345107898,linear,scale,2,0.1,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 2, 'C': 0.1}",0.972163953683504,0.9798701023948548,0.9857320099255583,0.9892017495899398,0.9799596248475417,0.9813854880882797,0.005819834576753206,5,0.9244000671253566,0.9293602437166794,0.9450098835008622,0.9572065441392943,0.9450098835008622,0.940197324396611,0.01185437186422172,1
2.303795051574707,0.04020853995667148,0.15215659141540527,0.008215789430195861,poly,auto,3,1.0,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 3, 'C': 1}",0.9575851652961908,0.956006177540831,0.9702548681498927,0.970107667073222,0.9585523825545696,0.9625012521229411,0.0063233469661657824,46,0.8950746769592214,0.8822353389185073,0.9056335954914413,0.9066640030281363,0.8872334609075998,0.8953682150609812,0.009712936597216122,46
1.5713727474212646,0.08703193643214237,0.20131845474243165,0.012560811022105206,rbf,scale,4,10.0,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 4, 'C': 10}",0.9678008055042793,0.9754696623508505,0.9852273205198302,0.9884026580308701,0.9771207469403205,0.97880423866923,0.0073268645373223504,21,0.9161142809196173,0.9239654734704238,0.9342642049038988,0.946250578289944,0.9305421205366531,0.9302273316241074,0.010114632364798632,34
4.996118783950806,0.26617513838917467,0.31296863555908205,0.028605228766906007,poly,auto,3,0.1,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 3, 'C': 0.1}",0.9392935056217486,0.9299843445883049,0.9543361231442151,0.9566282541952307,0.9377970307439962,0.9436078516586992,0.01022355963064365,49,0.8785031045477429,0.8085808580858085,0.850969424233503,0.8544812213483618,0.830813391092232,0.8446695998615297,0.023558665272394513,49
3.62613959312439,0.32287981268994487,0.23966941833496094,0.06771810504425024,poly,auto,4,1.0,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 4, 'C': 1}",0.9485442188286625,0.944010747228569,0.9594040459267359,0.9587942128948143,0.9462505782899441,0.9514007606337452,0.006449995646587334,48,0.8977387145494209,0.8682935601252433,0.9167998485931783,0.8971590192202549,0.8766980695630231,0.8913378424102241,0.017137869864742868,48
1.0071814060211182,0.0704584644366962,0.05931310653686524,0.004990797252607535,linear,scale,4,0.1,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 4, 'C': 0.1}",0.972163953683504,0.9798701023948548,0.9857320099255583,0.9892017495899398,0.9799596248475417,0.9813854880882797,0.005819834576753206,5,0.9244000671253566,0.9293602437166794,0.9450098835008622,0.9572065441392943,0.9450098835008622,0.940197324396611,0.01185437186422172,1
45.16035261154175,7.334135692625059,0.07830839157104492,0.024261236166850716,linear,scale,2,100.0,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 2, 'C': 100}",0.9669617385467361,0.982028010493357,0.9780354964882029,0.9873932792194137,0.9780670395760609,0.9784971128647542,0.0067092760748532045,24,0.921924819600604,0.939144876026064,0.9395319005761871,0.9492471716364554,0.9320877318416957,0.9363872999362013,0.009061110996784087,16
