mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
0.7636822700500489,0.11756691003168927,0.17142696380615235,0.04407247417122469,0.749816047538945,0.9507143064099162,0.22959818254342154,7,0.15601864044243652,0.15599452033620265,4.0,0.7836995567863468,"{'colsample_bytree': 0.749816047538945, 'gamma': 0.9507143064099162, 'learning_rate': 0.22959818254342154, 'max_depth': 7, 'reg_alpha': 0.15601864044243652, 'reg_lambda': 0.15599452033620265, 'scale_pos_weight': 4.0, 'subsample': 0.7836995567863468}",0.9757929182748784,0.983128120504358,0.9843861715102831,0.9889073474365985,0.9838709677419355,0.9832171050936107,0.00422609935396602,83,0.9270641047155561,0.9484852331386985,0.9358098162089413,0.9596879337174581,0.9352946124405939,0.9412683400442496,0.011476987254841902,18
0.948000717163086,0.06309605789595998,0.13934316635131835,0.011752746593139815,0.7334834444556088,0.14286681792194078,0.20526654188465587,7,0.9699098521619943,0.8324426408004217,3.4,0.6003115063364057,"{'colsample_bytree': 0.7334834444556088, 'gamma': 0.14286681792194078, 'learning_rate': 0.20526654188465587, 'max_depth': 7, 'reg_alpha': 0.9699098521619943, 'reg_lambda': 0.8324426408004217, 'scale_pos_weight': 3.4, 'subsample': 0.6003115063364057}",0.975960731666387,0.9828107810781078,0.9873512217689363,0.9882133995037221,0.984291542246709,0.9837255352527725,0.004352834527083257,64,0.9270641047155561,0.9442117288651942,0.9236131555705093,0.9566913403709467,0.9347794086722463,0.9372719476388905,0.01201872527322076,80
0.9824726104736328,0.022248515100390713,0.15486512184143067,0.017820973775465713,0.996884623716487,0.6174815096277165,0.19349594814648427,14,0.023062425041415757,0.5247746602583891,4.0,0.6557975442608167,"{'colsample_bytree': 0.996884623716487, 'gamma': 0.6174815096277165, 'learning_rate': 0.19349594814648427, 'max_depth': 14, 'reg_alpha': 0.023062425041415757, 'reg_lambda': 0.5247746602583891, 'scale_pos_weight': 4.0, 'subsample': 0.6557975442608167}",0.9758138949488169,0.9826838453076077,0.9856689237498423,0.985164234344114,0.9829877612819111,0.9824637319264584,0.003524467518011666,93,0.9203515690552105,0.9411758483540661,0.9358098162089413,0.955450645581865,0.9275455271901417,0.9360666812780449,0.012012347473930839,89
0.8479350566864013,0.0350607710290264,0.1454690933227539,0.01632464851091002,0.7168578594140873,0.3663618432936917,0.14682099526511078,5,0.38246199126716274,0.9832308858067882,3.0,0.6185801650879991,"{'colsample_bytree': 0.7168578594140873, 'gamma': 0.3663618432936917, 'learning_rate': 0.14682099526511078, 'max_depth': 5, 'reg_alpha': 0.38246199126716274, 'reg_lambda': 0.9832308858067882, 'scale_pos_weight': 3.0, 'subsample': 0.6185801650879991}",0.9771773787548247,0.9835935516628586,0.9860264120788997,0.990232157126635,0.9837237666652647,0.9841506532576967,0.004233729138842192,54,0.922826816579963,0.9552339849369552,0.934053917651512,0.96092862850654,0.9372607982504101,0.9420608291850762,0.01404723498680094,10
0.9511140823364258,0.019587414696233898,0.13991403579711914,0.011331793979967189,0.8430179407605753,0.17052412368729153,0.029515477895583855,6,0.9422017556848528,0.5632882178455393,3.4,0.7218455076693483,"{'colsample_bytree': 0.8430179407605753, 'gamma': 0.17052412368729153, 'learning_rate': 0.029515477895583855, 'max_depth': 6, 'reg_alpha': 0.9422017556848528, 'reg_lambda': 0.5632882178455393, 'scale_pos_weight': 3.4, 'subsample': 0.7218455076693483}",0.9818132236952509,0.9825357535753576,0.9891596921394625,0.9901270135004416,0.9851326912562561,0.9857536748333537,0.00337623571404672,7,0.922826816579963,0.938023610053313,0.9444946797325146,0.9534844597720488,0.9390166968078395,0.9395692525891357,0.010008959144180367,49
0.6683199882507325,0.029109351762219855,0.13148040771484376,0.007891202178078002,0.6390688456025535,0.6842330265121569,0.1420457481218804,9,0.6099966577826209,0.8331949117361643,4.0,0.9637281608315128,"{'colsample_bytree': 0.6390688456025535, 'gamma': 0.6842330265121569, 'learning_rate': 0.1420457481218804, 'max_depth': 9, 'reg_alpha': 0.6099966577826209, 'reg_lambda': 0.8331949117361643, 'scale_pos_weight': 4.0, 'subsample': 0.9637281608315128}",0.9785828159087094,0.9827473131928577,0.9891807208647012,0.9897484964461455,0.9845228582243345,0.9849564409273498,0.0041593189892150505,24,0.9215891928175868,0.9404988575780655,0.940772595365269,0.96092862850654,0.9395319005761871,0.9406642349687295,0.01245651758202544,29
0.7269441604614257,0.047412375276153065,0.13397045135498048,0.009742945498574322,0.7035119926400067,0.662522284353982,0.10351332282682328,8,0.20794166286818883,0.5677003278199915,3.0,0.9878338511058234,"{'colsample_bytree': 0.7035119926400067, 'gamma': 0.662522284353982, 'learning_rate': 0.10351332282682328, 'max_depth': 8, 'reg_alpha': 0.20794166286818883, 'reg_lambda': 0.5677003278199915, 'scale_pos_weight': 3.0, 'subsample': 0.9878338511058234}",0.9769256586675616,0.9825780654988576,0.9889914623375531,0.9896433528199521,0.9855112083105522,0.9847299495268953,0.0046572513208944415,36,0.9240644403423393,0.9442117288651942,0.9390166968078395,0.96092862850654,0.9372607982504101,0.9410964585544648,0.011934380732873503,24
0.6853584766387939,0.025156090067840486,0.13031177520751952,0.010060442257491293,0.9100531293444458,0.9394989415641891,0.27844820512829466,10,0.5704439744053994,0.5208342600258237,3.4,0.7301321323053057,"{'colsample_bytree': 0.9100531293444458, 'gamma': 0.9394989415641891, 'learning_rate': 0.27844820512829466, 'max_depth': 10, 'reg_alpha': 0.5704439744053994, 'reg_lambda': 0.5208342600258237, 'scale_pos_weight': 3.4, 'subsample': 0.7301321323053057}",0.977911562342675,0.983022340695608,0.9844492576859991,0.9872250494175043,0.9862051562434285,0.9837626732770431,0.0032621698676542406,62,0.922826816579963,0.9442117288651942,0.9315725280733481,0.9584472389283762,0.9402573915969215,0.9394631408087605,0.01202168837930283,52
0.8046572208404541,0.019561613395249,0.13184585571289062,0.014633280444493893,0.7554709158757928,0.2713490317738959,0.2586212527455788,12,0.965255307264138,0.6070342476866847,3.0,0.6563696899899051,"{'colsample_bytree': 0.7554709158757928, 'gamma': 0.2713490317738959, 'learning_rate': 0.2586212527455788, 'max_depth': 12, 'reg_alpha': 0.965255307264138, 'reg_lambda': 0.6070342476866847, 'scale_pos_weight': 3.0, 'subsample': 0.6563696899899051}",0.9754992448397383,0.9812029279851061,0.9875404802960845,0.9882975144046767,0.9843756571476637,0.9833831649346539,0.004676083227231397,76,0.9245888571908037,0.950960480663451,0.9322980190940826,0.9566913403709467,0.9317828153257349,0.9392643025290038,0.012331850489201216,56
0.811601972579956,0.023635665975145936,0.13232250213623048,0.01260978040048105,0.9208787923016158,0.07455064367977082,0.3060660809801552,10,0.3948815181755697,0.2934881747180381,4.0,0.9261845713819337,"{'colsample_bytree': 0.9208787923016158, 'gamma': 0.07455064367977082, 'learning_rate': 0.3060660809801552, 'max_depth': 10, 'reg_alpha': 0.3948815181755697, 'reg_lambda': 0.2934881747180381, 'scale_pos_weight': 4.0, 'subsample': 0.9261845713819337}",0.9734645074676959,0.9775429466023526,0.9867413887370148,0.9850380619926821,0.9819573537452159,0.9809488517089923,0.004876634098227466,100,0.92582648095318,0.9283553355335533,0.9358098162089413,0.9536947470244354,0.9355048996929806,0.935838255882618,0.009748804493374353,92
